title,content,href
Google pulls popular but controversial live video chat app Chamet from the Play Store,Google has removed a popular but controversial live video chat app Chamet from the Play Store. The company confirmed the move to TechCrunch saying that the app violated its user-generated content (UGC,https://techcrunch.com/2023/09/01/google-pulls-popular-but-controversial-live-video-chat-app-chamet-from-the-play-store/
How to pitch me: 15 investors talk about what they’re looking for in August 2023,“I suggest reaching out right before Labor Day to set up a meeting in September or wait and start your outreach altogether next month.”,https://techcrunch.com/2023/08/31/august-2023-how-to-pitch-15-early-stage-investors/
"Lawsuit alleges no due diligence in Amazon’s Project Kuiper launch contracts to Blue Origin, ULA","An institutional investor is suing Amazon and its board, including founder and executive chairman Jeff Bezos, over hefty launch contracts they awarded to Bezos’ space company, Blue Origin. The suit,",https://techcrunch.com/2023/08/31/lawsuit-alleges-no-due-diligence-in-amazons-project-kuiper-launch-contracts-to-blue-origin-ula/
"Fisker confirms Foxconn will build its $29,900 Pear EV, but questions remain","EV startup Fisker revealed more details about its $29,900 Pear electric urban lifestyle crossover vehicle Thursday at the company’s Product Vision Day. Included in that reveal was confirmation t",https://techcrunch.com/2023/08/31/fisker-confirms-foxconn-will-build-its-29900-pear-ev-but-questions-remain/
Biden offers $15.5B to boost battery and EV manufacturing,"The United States Department of Energy is dedicating $15.5 billion to support the transition to electric vehicles. As part of President Joe Biden’s Investing in America agenda, most of the money",https://techcrunch.com/2023/08/31/biden-offers-15-5b-to-boost-battery-and-ev-manufacturing/
Robotics sales decline for second straight quarter amid economic woes,"Sooner or later, the numbers were going to contract. Broadly speaking, the pandemic has been a gamechanger for automation broadly and robotics specifically. But not even those categories are immune fr",https://techcrunch.com/2023/08/31/robotics-sales-decline-for-second-straight-quarter-amid-economic-woes/
Texas cannot yet enforce ID checks on porn sites,"A Texas judge issued an injunction today to stall the enforcement of an online age verification bill. The Free Speech Coalition, along with adult video sites like Pornhub, led the legal challenge agai",https://techcrunch.com/2023/08/31/texas-cannot-yet-enforce-id-checks-on-porn-sites/
"Grayscale wins lawsuit against SEC, while the agency settles first NFT case and Friend.tech hype crashes","If you’ve been dreaming about bitcoin spot ETFs, it’s time to talk to someone outside of the crypto world. This is coming from someone who literally had a dream about them this week.",https://techcrunch.com/2023/08/31/grayscale-wins-lawsuit-against-sec-while-the-agency-settles-first-nft-case-and-friend-tech-hype-crashes/
"Lowering costs nets Salesforce a profitable quarter, but can it keep it up?","Salesforce had a better quarter than expected, but it's reporting and forecasting those results based on prior work, to a real degree.",https://techcrunch.com/2023/08/31/salesforce-slowing-acquisitions-profitability-growth/
"YouTube Music gets more social, adds comments to the ‘Now Playing’ screen","YouTube Music redesigned its “Now Playing” screen recently, with the most notable update being a new comments section, which allows users to read and write comments directly from the app. The late",https://techcrunch.com/2023/08/31/youtube-music-gets-more-social-adds-comments-to-the-now-playing-screen/
"X plans to collect users’ biometric data, along with education and job history","X, formerly known as Twitter, will begin collecting users’ biometric data, according to its new privacy policy that was first spotted by Bloomberg. The policy also says the company wants to coll",https://techcrunch.com/2023/08/31/x-plans-to-collect-users-biometric-data-along-with-education-and-job-history/
Forever 21 data breach affects half a million people,Clothing giant Forever 21 said a data breach earlier in the year affects more than half a million individuals. A data breach notice filed with Maine’s attorney general said the fashion giant was,https://techcrunch.com/2023/08/31/forever-21-data-breach-half-million/
Google Play Points to gain rewards for Walmart+ and Discord,"Google Play Points, the marketplace’s rewards program first introduced in 2019, is announcing its latest line-up of perks and deals at its second annual Google Play Live event this afternoon. Of",https://techcrunch.com/2023/08/31/google-play-points-add-rewards-for-walmart-instacart-and-discord/
OpenAI angles to put ChatGPT in classrooms with special tutor prompts,"OpenAI wants its conversational AI agent ChatGPT everywhere, and that includes classrooms — despite the immense potential for misuse and confusion there. Taking the bull by the horns, the company ha",https://techcrunch.com/2023/08/31/openai-angles-to-put-chatgpt-in-classrooms-with-special-tutor-prompts/
"Bumble changes its policy to crack down on bots, ghosting and doxing","Dating app company Bumble has released its updated community guidelines with an aim to crack down on bots, spam, ghosting and doxing. The new policy will apply to its dating app Badoo along with Bumbl",https://techcrunch.com/2023/08/31/bumble-changes-its-policy-to-crack-down-on-bots-ghosting-and-doxing/
Klarna’s Q2 results include profitable month as GMV continues growth streak,"Revenue in the second quarter grew at an even faster pace, up 17%.",https://techcrunch.com/2023/08/31/klarnas-q2-earnings-e-commerce/
Meta is now showing a carousel of suggested Threads on Instagram to bump up engagement,"Meta is continuously experimenting with features to bump up engagement on Threads, which has fallen off after the initial rush of excitement and installs. In the latest test, the company is showing a",https://techcrunch.com/2023/08/31/meta-is-now-showing-a-carousel-of-suggested-threads-on-instagram-to-bump-up-engagement/
"All products are garbage, and for good reason",The spirit animal of capitalism is bamboo: Hyper growth above everything.,https://techcrunch.com/2023/08/31/if-it-breaks-you-have-to-buy-more/
Embrace these FinOps best practices to ace your cloud strategy,Here are some best practice takeaways you can consider to help ensure your cloud transformation is successful across every metric,https://techcrunch.com/2023/08/31/best-practices-for-cloud-finops/
"Threads’ web launch did little to bring in more users, new data suggests",Instagram Threads users had been clamoring for a fully functional web version of the Meta-owned Twitter alternative since the app’s July debut. But last week’s release of the anticipated w,https://techcrunch.com/2023/08/31/threads-web-launch-did-little-to-bring-in-more-users-new-data-suggests/
